Timestamp,BTOffset,Init_Angles,CumulativeReward,checkpointVisitedTimes,Vaild_CP,First_CP_Step
2024-09-15 10:18:12,"0.009055215,-0.006193927,0.1439918","12.8657,34.67888,11.13715,30.80403,41.75469,-56.61389",-0.04999636,"0,0,0,0,0,0,0,0,0,0,0,0,0",0,0
2024-09-15 10:18:25,"0,0,0","0,0,0,0,0,0",0,"0",0,0
2024-09-15 10:18:43,"0.0003206499,-0.005603706,0.1420757","17.63881,19.75834,33.79153,36.08929,35.42371,-38.7798",0.3025301,"46,46,46,46,46,46,45,29,11,3,1,0,0",8,4
2024-09-15 10:18:59,"0.00483004,-0.02246899,0.1318991","-6.790739,33.11303,15.69627,46.53131,32.36218,-59.41166",0.103548,"36,36,36,36,36,26,16,11,9,4,3,1,0",6,0
